user_id,name,country,signup_date
1,user_1,FR,2024-11-30
2,user_2,FR,2024-05-27
3,user_3,DE,2025-05-10
4,user_4,US,2024-09-29
5,user_5,IR,2024-08-09
6,user_6,DE,2024-04-03
7,user_7,FI,2025-02-06
8,user_8,DE,2025-03-27
9,user_9,FR,2024-06-19
10,user_10,US,2025-03-14
11,user_11,FI,2025-01-29
12,user_12,FR,2024-10-08
13,user_13,DE,2025-04-15
14,user_14,IR,2025-05-13
15,user_15,IR,2024-11-02
16,user_16,FI,2024-08-22
17,user_17,FR,2024-02-21
18,user_18,FI,2025-04-24
19,user_19,DE,2024-05-02
20,user_20,US,2025-03-31
21,user_21,US,2025-01-16
22,user_22,FR,2024-06-26
23,user_23,IR,2024-12-06
24,user_24,FI,2024-04-09
25,user_25,DE,2024-02-23
26,user_26,DE,2025-02-06
27,user_27,FR,2024-04-22
28,user_28,US,2024-05-17
29,user_29,IR,2024-01-23
30,user_30,US,2025-01-18
31,user_31,US,2024-11-14
32,user_32,US,2024-09-23
33,user_33,FI,2025-04-21
34,user_34,FR,2025-02-07
35,user_35,DE,2025-01-18
36,user_36,US,2024-06-13
37,user_37,FR,2024-06-22
38,user_38,IR,2025-02-10
39,user_39,FI,2024-09-29
40,user_40,IR,2024-01-25
41,user_41,DE,2025-01-29
42,user_42,US,2025-01-03
43,user_43,DE,2024-08-31
44,user_44,US,2024-11-30
45,user_45,DE,2024-08-26
46,user_46,US,2025-05-01
47,user_47,US,2024-03-27
48,user_48,DE,2024-09-25
49,user_49,IR,2024-06-21
50,user_50,US,2024-07-17
51,user_51,FI,2024-06-28
52,user_52,US,2024-01-07
53,user_53,US,2024-10-07
54,user_54,IR,2024-02-29
55,user_55,FI,2025-04-24
56,user_56,FI,2025-03-15
57,user_57,IR,2024-08-09
58,user_58,FR,2024-05-31
59,user_59,IR,2024-10-12
60,user_60,FI,2024-02-18
61,user_61,US,2024-09-05
62,user_62,FI,2024-11-02
63,user_63,IR,2024-08-14
64,user_64,IR,2024-09-28
65,user_65,DE,2024-01-22
66,user_66,IR,2024-08-13
67,user_67,FR,2025-02-28
68,user_68,FR,2024-07-26
69,user_69,FR,2024-08-28
70,user_70,FR,2025-02-06
71,user_71,FI,2024-08-07
72,user_72,DE,2024-01-14
73,user_73,IR,2024-10-14
74,user_74,FI,2024-12-12
75,user_75,US,2024-06-20
76,user_76,IR,2024-01-24
77,user_77,IR,2024-11-01
78,user_78,IR,2024-02-01
79,user_79,DE,2024-02-08
80,user_80,FI,2024-04-27
81,user_81,IR,2024-10-16
82,user_82,DE,2025-03-16
83,user_83,DE,2024-08-09
84,user_84,DE,2024-06-02
85,user_85,DE,2024-01-30
86,user_86,IR,2024-02-17
87,user_87,FR,2024-01-12
88,user_88,US,2024-11-11
89,user_89,DE,2025-04-25
90,user_90,FI,2025-01-21
91,user_91,DE,2024-07-10
92,user_92,FI,2025-05-04
93,user_93,US,2025-04-15
94,user_94,FI,2024-11-21
95,user_95,US,2024-12-01
96,user_96,FI,2024-04-13
97,user_97,IR,2024-11-02
98,user_98,IR,2025-04-06
99,user_99,IR,2024-09-10
100,user_100,FR,2024-04-26
