timestamp,ip,method,endpoint,status,response_time_ms
2025-04-09 09:49:16,192.168.1.38,DELETE,/,500,1702
2025-03-18 23:42:02,192.168.1.34,GET,/login,500,1266
2025-04-28 10:12:20,192.168.1.162,DELETE,/checkout,201,1289
2025-03-31 00:59:20,192.168.1.7,GET,/login,404,1818
2025-04-17 08:49:31,192.168.1.106,PUT,/login,201,577
2025-03-24 09:49:39,192.168.1.39,POST,/product,404,1938
2025-03-27 23:20:19,192.168.1.60,GET,/,200,1749
2025-03-22 04:02:38,192.168.1.18,POST,/login,201,1928
2025-03-06 17:09:53,192.168.1.214,POST,/api/data,201,1692
2025-04-25 04:57:28,192.168.1.217,GET,/api/data,200,1657
2025-03-21 19:42:53,192.168.1.166,POST,/checkout,201,1446
2025-03-01 11:09:27,192.168.1.82,POST,/login,500,1642
2025-03-17 17:52:56,192.168.1.129,POST,/api/data,400,907
2025-03-06 19:53:32,192.168.1.55,GET,/api/data,400,1311
2025-03-20 07:29:38,192.168.1.26,POST,/product,201,768
2025-04-24 18:54:14,192.168.1.83,PUT,/api/data,404,1647
2025-03-17 17:59:34,192.168.1.160,POST,/,404,1891
2025-04-29 10:37:32,192.168.1.35,GET,/checkout,400,619
2025-03-16 23:43:21,192.168.1.79,GET,/checkout,400,1269
2025-04-19 04:17:21,192.168.1.93,POST,/login,200,1307
2025-04-02 23:26:48,192.168.1.195,DELETE,/api/data,200,1365
2025-04-28 01:39:12,192.168.1.44,POST,/checkout,201,1703
2025-03-03 12:14:22,192.168.1.123,PUT,/api/data,500,101
2025-04-15 00:45:48,192.168.1.105,POST,/product,404,1907
2025-04-11 00:09:53,192.168.1.180,PUT,/login,400,1109
2025-04-14 01:27:37,192.168.1.117,DELETE,/product,500,726
2025-03-22 14:21:01,192.168.1.12,DELETE,/checkout,200,369
2025-04-18 09:54:01,192.168.1.90,GET,/product,201,938
2025-04-18 14:27:07,192.168.1.161,POST,/checkout,201,166
2025-03-23 01:56:09,192.168.1.97,GET,/product,200,478
2025-04-16 00:40:17,192.168.1.22,GET,/product,500,1913
2025-03-23 11:09:24,192.168.1.76,GET,/api/data,500,1606
2025-03-31 17:41:17,192.168.1.163,POST,/checkout,201,1684
2025-03-06 09:36:24,192.168.1.86,DELETE,/api/data,404,1804
2025-04-26 08:24:53,192.168.1.179,PUT,/login,400,655
2025-04-17 19:53:05,192.168.1.146,DELETE,/login,200,1995
2025-04-02 06:14:54,192.168.1.100,DELETE,/product,500,1057
2025-04-12 17:20:01,192.168.1.72,PUT,/product,201,1342
2025-04-10 00:39:43,192.168.1.201,POST,/checkout,201,1109
2025-03-10 13:58:55,192.168.1.170,PUT,/login,400,1344
2025-04-02 15:10:54,192.168.1.152,DELETE,/login,400,1562
2025-04-09 03:57:00,192.168.1.164,DELETE,/checkout,201,689
2025-03-29 14:58:43,192.168.1.42,PUT,/api/data,200,1786
2025-03-31 05:40:50,192.168.1.60,POST,/checkout,400,1741
2025-03-26 14:07:09,192.168.1.18,PUT,/checkout,201,992
2025-03-15 20:22:27,192.168.1.171,GET,/checkout,201,1891
2025-03-13 16:35:17,192.168.1.180,PUT,/checkout,200,1440
2025-04-13 16:51:57,192.168.1.160,DELETE,/checkout,200,72
2025-04-26 13:30:47,192.168.1.7,PUT,/checkout,201,730
2025-04-19 22:09:01,192.168.1.196,GET,/login,404,1580
2025-04-27 07:21:11,192.168.1.218,DELETE,/checkout,500,481
2025-04-22 23:28:46,192.168.1.137,DELETE,/api/data,500,720
2025-03-15 11:10:28,192.168.1.216,PUT,/,200,21
2025-04-21 14:04:59,192.168.1.5,GET,/,400,336
2025-04-12 15:52:19,192.168.1.252,POST,/,200,1779
2025-04-02 19:12:01,192.168.1.155,PUT,/,400,1190
2025-03-05 04:09:50,192.168.1.165,PUT,/checkout,500,1353
2025-04-09 01:55:07,192.168.1.30,GET,/login,500,1726
2025-03-21 13:16:40,192.168.1.168,POST,/product,500,351
2025-04-21 03:32:11,192.168.1.252,GET,/,404,650
2025-04-23 08:33:32,192.168.1.166,GET,/product,500,1327
2025-04-19 09:12:37,192.168.1.253,DELETE,/checkout,201,529
2025-03-09 15:51:54,192.168.1.193,PUT,/,404,1006
2025-04-25 11:21:56,192.168.1.149,POST,/login,200,1068
2025-03-04 21:51:44,192.168.1.149,POST,/,500,1246
2025-03-08 13:33:59,192.168.1.188,DELETE,/checkout,400,1638
2025-03-05 15:41:05,192.168.1.48,DELETE,/login,400,1633
2025-03-04 00:07:25,192.168.1.239,PUT,/product,400,1350
